Easting,Northing,n,n_serious,locations
547275.0009,256474.9999,11,2,A1134 PERNE RD JUNCTION CHERRY HINTON RD C235 CAMBRIDGE
519425.0009,299324.9999,10,0,A1119 BURGHLEY RD OUTSIDE JOB CENTRE PETERBOROUGH
519725.0009,299074.9999,10,2,A1119 BOONGATE JUNCTION ST JOHNS STREET PETERBOROUGH
545925.0009,259724.9999,10,2,A1134 ELIZABETH WAY JUNCTION A1303 CHESTERTON RD CAMBRIDGE
547225.0009,256474.9999,10,2,A1134 CHERRY HINTON RD 10M NORTH OF PERNE RD CAMBRIDGE
547625.0009,258024.9999,10,1,A1134 BARNWELL RD JUNCTION COLDHAMS LANE CAMBRIDGE
517325.0009,301224.9999,9,0,A47 SLIP RD JUNCTION 17 WESTBOUND SOKE PARKWAY
518075.0009,295724.9999,9,0,A1139 FLETTON PARKWAY 100M EAST OF NENE PARKWAY
518475.0009,299824.9999,9,1,A15 BOURGES BOULEVARD JUNCTION A1127 WESTFIELD RD PETERBOROU
518725.0009,299074.9999,9,0,A15 BOURGES BOULEVARD JUNCTION C61 MAYORS WALK PETERBOROUGH
519225.0009,298374.9999,9,1,BOURGES BOULEVARD A15 BRIDGE STREET
544625.0009,291174.9999,9,4,B1093 WIMBLINGTON RD MANEA JUNCTION B1098 SIXTEEN FOOT BANK
545275.0009,259474.9999,9,2,A1134 CHESTERTON RD POSSIBLY AT BARCLAYS BANK CAR PARK
545475.0009,257774.9999,9,1,A1307 HILLS RD CAMBRIDGE   OS CHURCH
546125.0009,257924.9999,9,1,MILL RD JUNCTION TENISON RD CAMBRIDGE
551625.0009,250674.9999,9,3,A1307 CAMBRIDGE RD JUNCTION HIGH ST BABRAHAM
559125.0009,260474.9999,9,6,A1303 2M SOUTH OF SWAFFHAM HEATH DULLINGHAM
506625.0009,299674.9999,8,1,A47 AT JN WITH OLD LEICESTER ROAD
515625.0009,298624.9999,8,0,A1260 JW A47 PETERBOROUGH
517725.0009,295724.9999,8,0,A1260 NORTHBOUND JUST OFF HAMPTON ROUNDABOUT
519025.0009,299774.9999,8,1,DOGSTHORPE RD JUNCTION LINCOLN RD PETERBOROUGH
519475.0009,299974.9999,8,0,PARK RD JUNCTION PARK CRESCENT
519675.0009,299774.9999,8,2,A1127 PRINCES GATE JUNCTION BROADWAY PETERBOROUGH
520025.0009,297074.9999,8,2,A605 WHITTLESEY RD JUNCTION SOUTH ST STANGROUND
520475.0009,299124.9999,8,0,A1139 BOONGATE EASTBOUND PETERBOROUGH
529675.0009,260674.9999,8,0,A1198 JUNCTION A428 CAXTON
531975.0009,259524.9999,8,2,BROAD ST JUNCTION SCHOOL LANE CAMBOURNE
544325.0009,259974.9999,8,0,B1049 HISTON RD CAMBRIDGE AT JCT TO ALDI
545025.0009,258174.9999,8,3,DOWNING ST JUNCTION TENNIS COURT RD CAMBRIDGE
545275.0009,256924.9999,8,5,A1134 TRUMPINGTON RD JUNCTION BROOKLANDS AVENUE CAMBRIDGE
548825.0009,253474.9999,8,2,A1307 BABRAHAM RD JUNCTION GOG MAGOG HILLS FARM CAMBRIDGE
552475.0009,249874.9999,8,1,A1307 CAMBRIDGE RD 10M SOUTH OF FOURWENTWAYS SERVICES
509025.0009,299574.9999,7,1,A47 EASTBOUND JUNCTION C44 SUTTON HEATH RD PETERBOROUGH
515625.0009,298474.9999,7,0,A1260 NENE PARKWAY JUNCTION A47 PETERBOROUGH
518125.0009,295724.9999,7,1,A1139 EB ONSLIP A1260
518875.0009,298674.9999,7,1,A15 BOURGES BOULEVARD JUNCTION COWGATE PETERBOROUGH
518925.0009,301224.9999,7,0,A1109 ST PAULS RD JUNCTION C56 FULBRIDGE RD PETERBOROUGH
519125.0009,298874.9999,7,0,C61 WESTGATE JUNCTION C57 PARK RD PETERBOROUGH
519225.0009,299524.9999,7,3,A1119 BURGHLEY RD JUNCTION HENRY STREET PETERBOROUGH
520525.0009,300474.9999,7,1,C51 EASTFIELD RD OUTSIDE 381 PETERBOROUGH
521325.0009,301574.9999,7,2,A1139 FRANK PERKINS PARKWAY JUNCTION A15 PASTON PWAY JNCT 8
525925.0009,276074.9999,7,3,B1090 AT JN WITH RAMSEY ROAD
527025.0009,272624.9999,7,0,A1123 BANKS END JUNCTION GARDEN CENTRE HUNTINGDON RD ST IVES
527225.0009,260024.9999,7,1,A428 CAMBRIDGE RD JUNCTION B1040 ST IVES RD ELTISLEY
527325.0009,297124.9999,7,1,ROUNDABOUT WITH CEMETERY ROAD A605 AND EASTREA ROAD
531525.0009,271174.9999,7,1,C303 MARKET HILL 5M W OF MARKET RD OS HSBC ST IVES
539625.0009,301124.9999,7,0,A141 ISLE OF ELY WAY 20M SOUTH OF 20 FOOT ROAD MARCH
540425.0009,296674.9999,7,4,NA
544375.0009,260274.9999,7,0,B1049 HISTON RD NR GILBERT RD CAMBRIDGE
544825.0009,258074.9999,7,2,PEMBROKE STREET JUNCTION TRUMPINGTON STREET CAMBRIDGE
544825.0009,258124.9999,7,2,C294 TRUMPINGTON ST JUNCTION SILVER ST CAMBRIDGE
545425.0009,259524.9999,7,0,A1134 CHESTERTON RD JUNCTION TRAFALGAR RD CAMBRIDGE
545575.0009,257624.9999,7,0,A1307 HILLS RD CAMBRIDGE
545625.0009,259924.9999,7,0,A1134 HURST PARK AVE 20M MILTON RD CAMBRIDGE
545775.0009,257324.9999,7,1,A1307 STATION RD 10M HILLS RD CAMBRIDGE
545875.0009,260224.9999,7,0,A1309 MILTON RD JUNCTION C287 ARBURY RD CAMBRIDGE
545925.0009,258474.9999,7,1,A603 EAST RD 20M WEST OF NORFOLK ST CAMBRIDGE
546175.0009,252574.9999,7,3,CAMBRIDGE ROAD A1301
546175.0009,258824.9999,7,2,A1134 EAST RD 10M EAST OF A603 NEWMARKET RD CAMBRIDGE
546375.0009,309724.9999,7,1,A1101 CHURCHILL RD 250M SOUTH OF B198 LYNN RD WISBECH
546575.0009,255574.9999,7,0,A1134 LONG RD JUNCTION A1307 HILLS RD CAMBRIDGE
546825.0009,308524.9999,7,1,A1101 CHURCHILL RD JUNCTION WEASENHAM LANE WISBECH
547775.0009,263374.9999,7,1,A10 JUNCTION HUMPHRIES WAY MILTON
551475.0009,259574.9999,7,0,A1303 JUNCTION A14 STOW-CUM-QUY
554175.0009,279774.9999,7,1,BACK HILL JUNCTION WITH BROAD STREET
554925.0009,247524.9999,7,2,A1307 CAMBRIDGE RD LINTON OUTSIDE DALE HEAD FOOD
514025.0009,294174.9999,6,0,A1139 JW A(M)1
514575.0009,305774.9999,6,0,A15 HELPSTON NORTH OF B1443 HELPSTON RD PETERBOROUGH
515675.0009,298474.9999,6,0,A1260 NENE PARKWAY 20M SOUTH OF A47 PETERBOROUGH
517325.0009,304274.9999,6,0,DAVIDS LANE JUNCTION STANILAND WAY PETERBOROUGH
517625.0009,301724.9999,6,0,A15 LINCOLN RD OS MORRISONS PETERBOROUGH
517775.0009,295524.9999,6,0,A1260 NENE PARKWAY JUNCTION A1139 FRANK PERKINS PARKWAY
517825.0009,301374.9999,6,0,A15 BOURGES BOULEVARD 50M SOUTH OF A47 SOKE PARKWAY
517925.0009,299774.9999,6,0,A1125 GRANGE RD JUNCTION A1125 WESTFIELD RD PETERBOROUGH
518175.0009,297524.9999,6,1,A605 OUNDLE RD JUNCTION BAKERS LANE PETERBOROUGH
518375.0009,297674.9999,6,1,A605 NEW RD JUNCTION OUNDLE RD PETERBOROUGH
518675.0009,264824.9999,6,1,A1 BELL LANE SOUTHOE ST NEOTS
518725.0009,300424.9999,6,0,BARCLAYS BANK LINCOLN ROAD AT JN WITH SEARJEANT STREET
518775.0009,300424.9999,6,1,LINCOLN RD OS 395 NR STONE LANE PELICAN CROSSING
518925.0009,299124.9999,6,1,BRIGHT ST JUNCTION CROMWELL RD PETERBOROUGH
519025.0009,299824.9999,6,1,LINCOLN ROAD NEAR JN WITH DOSTHORPE ROAD
519075.0009,299574.9999,6,1,LINCOLN RD JUNCTION BURGHLEY RD PETERBOROUGH
519225.0009,301274.9999,6,2,WELLAND RD 5M BIRCHTREE AVENUE OS NO 7
519275.0009,298974.9999,6,1,BROADWAY BY BOLLARDS AREA PETERBOROUGH
519525.0009,299824.9999,6,1,PARK RD JUNCTION PRINCES ST PETERBOROUGH
519575.0009,298524.9999,6,1,A1119 BISHOPS RD MINI RDABT ST JOHNS RD FENGATE
519675.0009,299074.9999,6,0,BOONGATE EASTFIELD JUNCTION ST JOHN ST PETERBOROUGH
519675.0009,299124.9999,6,0,A1119 CRAWTHORNE RD RDABT EASTFIELD RD PETERBOROUGH
519725.0009,299124.9999,6,0,BOONGATE AT JN WITH ST JOHNS STREET
519725.0009,299174.9999,6,0,EASTFIELD RD JUNCTION BOONGATE
519925.0009,302224.9999,6,0,A47 SOKE PARKWAY EASTBOUND JUNCTION PASTON PARKWAY A15
520025.0009,302224.9999,6,0,A14 PASTON PARKWAY JUNCTION A47 SOKE PARKWAY PETERBOROUGH
520725.0009,279724.9999,6,1,2501M NE OF ALCONBURY HILL HUNTINGDON
521425.0009,301574.9999,6,0,A1139 FRANK PERKINS PARKWAY JUNCTION PARNWELL WAY
523875.0009,274374.9999,6,0,A141 NORTHERN BY PASS HUNTINGDON
528525.0009,264324.9999,6,0,B1040 HILTON JUNCTION ROGUES LANE HILTON
529025.0009,282674.9999,6,1,B1040 SHILLOW HILL 1000M SOUTH OF MEADOW LANE BURY
531625.0009,304424.9999,6,2,A47 JUNCTION B1167 NEW CUT THORNEY DIRECTIONS NOT GIVEN
531975.0009,272124.9999,6,1,A1123 NEEDINGWORTH RD JUNCTION SAINT AUDREY LANE ST IVES
540275.0009,308374.9999,6,1,B1166 LEVERINGTON COMMON JUNCTION HIGH SIDE LEVERINGTON
541675.0009,296624.9999,6,0,B1101 HIGH ST JUNCTION MARKET PLACE MARCH
541675.0009,296774.9999,6,1,8 BROAD STREET B1101
544575.0009,254774.9999,6,2,A1309 HIGH ST TRUMPINGTON OUTSIDE 105A CAMBRIDGE
544575.0009,254874.9999,6,2,A1309 HIGH ST JUNCTION ANSTEY WAY TRUMPINGTON
544575.0009,257974.9999,6,1,C294 SILVER ST JUNCTION RISING BOLLARDS CAMBRIDGE
544725.0009,307424.9999,6,0,A47 AT JN WITH CROMWELL ROAD B198
544975.0009,259324.9999,6,2,A1303 CHESTERTON RD 12M EAST OF CARLYLE RD CAMBRIDGE
545425.0009,258774.9999,6,0,C291 VICTORIA AVE JUNCTION C292 CAMBRIDGE
545475.0009,258774.9999,6,0,C291 FOUR LAMPS RDABT MAIDS CAUSEWAY CAMBRIDGE
545625.0009,257624.9999,6,1,HILLS RD JUNCTION CORONATION STREET CAMBRIDGE
545675.0009,257524.9999,6,1,A1307 HILLS RD 10M SOUTH OF RUSSELL ST CAMBRIDGE
545825.0009,257274.9999,6,1,A1307 50 METRES SOUTH OF STATION ROAD AT JUNCTION NEAR FLYIN
545825.0009,258124.9999,6,0,C280 MILL RD JUNCTION MORTIMER RD CAMBRIDGE
545925.0009,257074.9999,6,0,A1307 BROOKGATE JUNCTION HILLS RD CAMBRIDGE
546075.0009,258674.9999,6,1,A603 EAST RD 10M NORTH OF NELSON CLOSE OS CAMBRIDGE CROWN CT
546075.0009,260424.9999,6,3,A1309 MILTON RD JUNCTION MILTON ARMS PUBLIC HOUSE CAMBRIDGE
546625.0009,257674.9999,6,2,C280 COCKBURN ST JUNCTION MILL RD CAMBRIDGE
546725.0009,256574.9999,6,2,CHERRY HINTON RD JUNCTION COLERIDGE RD CAMBRIDGE
546975.0009,262124.9999,6,0,A14
547025.0009,258624.9999,6,0,COLDHAMS LANE  5 METRES EAST OF JUNCTION WITH CROMWELL ROAD
547125.0009,257574.9999,6,1,C280 MILL RD JUNCTION VINERY RD CAMBRIDGE
547375.0009,256424.9999,6,0,C285 WULFSTAN WAY JUNCTION CHERRY HINTON RD CAMBRIDGE
547425.0009,257424.9999,6,0,A1134 PERNE RD JUNCTION NATAL RD CAMBRIDGE
547575.0009,258024.9999,6,1,A1134 COLDHAMS LANE JUNCTION BARNWELL RD CAMBRIDGE
548725.0009,265924.9999,6,0,A10 ELY RD JUNCTION DENNY END RD WATERBEACH
548825.0009,264974.9999,6,2,A10 ELY RD JNCT CAR DYKE RD WATERBEACH
502375.0009,305624.9999,5,3,A1 SBC OFF SLIP JUNCTION A43 STAMFORD RD
515375.0009,298474.9999,5,0,A47 SOKE PARKWAY JNCT A1260 NENE PARKWAY PETERBOROUGH
515525.0009,294674.9999,5,0,A1139 FLETTON PARKWAY EB ONSLIP ORTON SOUTHGATE
515675.0009,298524.9999,5,1,A1260 ORTON WATERVILLE NENE PARKWAY PETERBOROUGH
516075.0009,301974.9999,5,1,BRETTON WAY JW OXCLOSE
516525.0009,297474.9999,5,0,A1260 NENE PARKWAY 250M SOUTH OF A1179 LONGTHORPE PARKWAY
516825.0009,297074.9999,5,1,A1260 NENE PARKWAY 200M N OF A605 OUNDLE RD PETERBOROUGH
516975.0009,296924.9999,5,0,A1260 SLIP RD A605 ROUNDABOUT OS GORDON ARMS
517275.0009,301274.9999,5,0,BRETTON WAY JUNCTION A47 EASTBOUND SLIP RD PETERBOROUGH
517275.0009,302074.9999,5,0,A15 LINCOLN RD JUNCTION MOUNTSTEVEN AVE PETERBOROUGH
517675.0009,299674.9999,5,0,A1125 WESTFIELD RD OUTSIDE SHELL GARAGE AT RDABT JUNCTION
518025.0009,297474.9999,5,1,A605 OUNDLE RD JUNCTION SUGAR WAY PETERBOROUGH
518075.0009,299774.9999,5,2,A1125 WESTFIELD RD 30M EAST OF PRIORY RD AT CROSSINGH
518425.0009,299824.9999,5,1,A15 TAVERNERS RD WESTFIELD RD BOURGES BOULEVARD A15
518475.0009,299874.9999,5,2,TAVERNERS RD PETERBOROUGH JW A15
518525.0009,259024.9999,5,1,B1043 BARFORD RD JUNCTION CROMWELL ROAD ST NEOTS
518525.0009,260324.9999,5,0,B1428 CAMBRIDGE ST JUNCTION HIGH ST ST NEOTS
518725.0009,299124.9999,5,1,A15 BOURGES BOULEVARD 25M NORTH OF BRIGHT ST PETERBOROUGH
518825.0009,298724.9999,5,0,A15 BOURGES BOULEVARD JW CRESCENT BRIDGE
518825.0009,300374.9999,5,0,LINCOLN RD JUNCTION OXFORD RD PETERBOROUGH
518875.0009,298774.9999,5,0,A15 BOURGES BOULEVARD 20M EAST OF THORPE RD PETERBOROUGH
518875.0009,299874.9999,5,1,TAVERNERS ROAD JUNCTION SILVERWOOD RD PETERBOROUGH
518925.0009,265724.9999,5,2,A1 DIDDINGTON
519275.0009,298124.9999,5,2,A15 LONDON RD JUNCTION CHARTERS CAR PARK ENTRANCE
519325.0009,298374.9999,5,0,A14 BISHOPS RD JUNCTION RIVERGATE PETERBOROUGH
519325.0009,300474.9999,5,1,C58 GARTON END RD JUNCTION DOGSTHORPE RD PETERBOROUGH
519375.0009,299424.9999,5,1,A1119 BURGHLEY RD JUNCTION C57 PARK RD PETERBOROUGH
519425.0009,299374.9999,5,1,A1119 BROADWAY 5M CRAWTHORNE RD PETERBOROUGH
519425.0009,299574.9999,5,0,PARK RD JUNCTION GRANVILLE ST PETERBOROUGH
519475.0009,257924.9999,5,1,B1046 AT JN WITH POTTON ROAD
519525.0009,271924.9999,5,0,A14 BRAMPTON HUT ROUNDABOUT HUNTINGDON
519775.0009,299824.9999,5,0,BROADWAY JUNCTION PARK CRESCENT PETERBOROUGH
519975.0009,302224.9999,5,0,A47 JUNCTION 20 A15 PASTON PETERBOROUGH
520025.0009,302324.9999,5,0,A47 JW A15
520225.0009,296424.9999,5,0,A1139 FLETTON PARKWAY STANGROUND
520375.0009,298824.9999,5,0,A1139 FRANK PERKINS PARKWAY 200M SOUTH OF BOONGATE
520575.0009,299124.9999,5,0,A1139 FRANK PERKINS PARKWAY JUNCTION BOONGATE ROUNDABOUT
521375.0009,301674.9999,5,0,A1139 EYE RD 100M EAST OF A15 PASTON PARKWAY PETERBOROUGH
522425.0009,272674.9999,5,0,A14 EASTBOUND JUNCTION 23 A141 BOTTOM OF ON SLIP HUNTINGDON
522925.0009,303124.9999,5,1,A47 CROWLAND RD RDABT A47
523675.0009,271824.9999,5,1,B1514 RING RD GEORGE ST JUNCTION ST JOHNS ST HUNTINGDON
524475.0009,262524.9999,5,1,C183 HIGH ST JNCT C182 CROXTON RD ST NEOTS
525675.0009,303724.9999,5,0,A47 THORNEY BY PASS 10M WEST OF WILLOW HALL LANE PETERBOROUG
528275.0009,284124.9999,5,1,B1040 HIGH ST JUNCTION B1040 UPWOOD RD BURY
528575.0009,285174.9999,5,1,WHYTEFIELD RD 30M EAST OF SCHOOL LANE RAMSEY
529625.0009,260724.9999,5,0,A1198 CAXTON JUNCTION A428 SBC AT RDABT
531725.0009,271274.9999,5,0,A1096 HARRISON WAY JUNCTION THE QUADRANT ST IVES
532175.0009,267924.9999,5,0,A14 EBC JUNCTION 27 FENSTANTON
533125.0009,255724.9999,5,0,B1046 BOURN RD NEAR BECK FARM
535675.0009,265774.9999,5,2,A14 EBC HUNTINGDON RD JUNCTION BUCKING WAY RD SWAVESEY
536975.0009,308474.9999,5,1,AT THE JUNCTION OF B1166 AND B1187 PARSONS DROVE / MURROW BA
537025.0009,246274.9999,5,0,C272 WHADDON RD JUNCTION FENNY LANE C270
538125.0009,256224.9999,5,0,B1046 BARTON RD JUNCTION GREEN END DUCK POND COMBERTON
538275.0009,264024.9999,5,0,B1050 EASTBOUND HUNTINGDON ROAD A14
539575.0009,301124.9999,5,0,A141 RINGSEND JUNCTION TWENTY FOOT RD MARCH
539625.0009,301424.9999,5,1,A141 GOOSETREE JUNCTION A605 GUYHIRN
541675.0009,292024.9999,5,0,A141 ISLE OF ELY WAY JUNCTION B1093 MANEA RD WIMBLINGTON
541675.0009,296824.9999,5,1,B1101 BROAD ST 50M SOUTH OF B1099 DARTFORD RD MARCH
541875.0009,297124.9999,5,0,B1101 STATION RD JUNCTION C75 ST JOHNS RD MARCH
542125.0009,261324.9999,5,0,A14 100M EAST OF GIRTON JUNCTION
543825.0009,259124.9999,5,1,NA
544275.0009,259024.9999,5,0,A1134 MADINGLEY RD JUNCTION LADY MARGARET RD CAMBRIDGE
544325.0009,260074.9999,5,1,B1049 HISTON RD JUNCTION WINDSOR RD CAMBRIDGE
544425.0009,258174.9999,5,2,NA
544475.0009,259024.9999,5,0,A1303 NORTHAMPTON ST JUNCTION POUND HILL CAMBRIDGE
544575.0009,254674.9999,5,1,A1309 SHELFORD RD CAMBRIDGE
544575.0009,254824.9999,5,0,A1309 TRUMPINGTON RD JNCT SHELL GARAGE NEAR  ANSTEY WAY
544625.0009,259074.9999,5,1,A1303 CHESTERTON LANE JUNCTION C290 CASTLE ST CAMBRIDGE
544675.0009,258974.9999,5,0,BRIDGE ST JUNCTION MAGDALENE ST CAMBRIDGE
544725.0009,258974.9999,5,1,BRIDGE MAGDALENE STREET NEAR JN WITH BRIDGE STREET
544775.0009,255724.9999,5,0,A1134 TRUMPINGTON 20M N OF LONG RD CAMBRIDGE
544825.0009,303024.9999,5,0,B1101 MAIN RD FRIDAY BRIDGE WISBECH
544925.0009,261224.9999,5,3,ARBURY RD CAMBRIDGE
545175.0009,258324.9999,5,2,C294 ST ANDREWS ST JUNCTION C295 NATIONAL WESTMINSTER BANK
545225.0009,258224.9999,5,2,C295 ST ANDREWS ST 50 YARDS SOUTH OF DOWNING STREET CAMBRIDG
545275.0009,256874.9999,5,1,A1309 TRUMPINGTON RD CHAUCER ROAD CAMBRIDGE
545325.0009,258124.9999,5,0,C295 ST ANDREWS ST JUNCTION PARK TERRACE CAMBRIDGE
545375.0009,259724.9999,5,1,A1134 MILTON RD 5M EAST OF GILBERT RD CAMBRIDGE
545575.0009,257674.9999,5,2,A1307 HILLS RD NR HAVEY RD EXACT LOC NOT KNOWN
545725.0009,260024.9999,5,0,A1134 ELIZABETH WAY  A1309 MILTON RD DIRECTIONS NOT KNOWN
545725.0009,304774.9999,5,0,B1101 MARCH RD 10M JEWHOUSE DROVE C35 FRIDAY BRIDGE
545975.0009,258024.9999,5,1,C280 MILL RD JUNCTION MACKENIE RD CAMBRIDGE
546225.0009,257874.9999,5,1,C280 MILL RD JUNCTION GWYDIR ST CAMBRIDGE
546425.0009,252024.9999,5,0,A1301 LONDON ROAD JUNCTION WITH STATION ROAD
546475.0009,258924.9999,5,2,A1134 NEWMARKET RD JUNCTION C298 COLDHAMS LANE CAMBRIDGE
546475.0009,309424.9999,5,1,A1101 CHURCHILL RD NEAR NORWICH ROAD WISBECH
546525.0009,258874.9999,5,1,COLDHAMS LANE LAYBY JUST AFTER TURN FROM NEWMARKET RD
546675.0009,258774.9999,5,1,COLDHAMS LANE JUNCTION HENLEY RD CAMBRIDGE
546775.0009,259124.9999,5,1,A1134 NEWMARKET RD CAMBRIDGE
546925.0009,255174.9999,5,0,A1307 HILLS RD JUNCTION NIGHTINGDALE AVE CAMBRIDGE
546925.0009,257624.9999,5,1,C280 MILL RD JUNCTION HEMINGFORD RD CAMBRIDGE
548075.0009,259324.9999,5,1,A1303 NEWMARKET RD 5M NORTH OF B1047 DITTON LANE CAMBRIDGE
548325.0009,263624.9999,5,0,A10 ELY RD JUNCTION C282 MILTON RD MILTON
548475.0009,256074.9999,5,0,C233 LIME KILN RD 20M QUEEN EDITHS WAY CAMBRIDGE
548825.0009,256724.9999,5,1,C233 HIGH ST JUNCTION FISHERS LANE CAMBRIDGE
550025.0009,272324.9999,5,1,A10 2500M SOUTH OF A1123 OS LAZY OTTER LAY BY STRETHAM
551475.0009,259424.9999,5,0,A1303 NEWMARKET RD JUNCTION A14 CAMBRIDGE
552725.0009,279474.9999,5,1,A10 JUNCTION A142 ANGEL DROVE
554225.0009,279774.9999,5,2,BROAD STREET AT JN WITH BACK HILL
554525.0009,281624.9999,5,0,C315 LYNN RD JUNCTION KINGS AVE ELY
556975.0009,282924.9999,5,1,BRANCH BANK ELY
558925.0009,246674.9999,5,2,A1307 AT JN WITH DEAN ROAD
559025.0009,274924.9999,5,2,A142 AT JN WITH NORTHFIELD ROAD
562875.0009,258824.9999,5,0,B1061 AT JN WITH EAGLE LANE
507475.0009,299824.9999,4,0,A1 JUNCTION A47 WANSFORD
509475.0009,299424.9999,4,1,A47 EBC JUNCTION THE DRIFT
514725.0009,295124.9999,4,1,NA
515275.0009,294524.9999,4,2,A1139 FLETTON PARKWAY PETERBOROUGH
515875.0009,290674.9999,4,2,A15 LONDON RD NORTHBOUND OFF SLIP A1M NORMAN CROSS
516425.0009,297674.9999,4,1,A1179 LONGTHORPE PARKWAY JUNCTION A1260 NENE PARKWAY
516475.0009,295224.9999,4,0,GOLDHAY WAY 20M A1139 ORTON PARKWAY
516625.0009,295124.9999,4,1,A1139 FLETTON PARKWAY JUNCTION NATURES WAY HAMPTON
516925.0009,302574.9999,4,0,A15 LINCOLN RD JUNCTION LINCOLN RD PETERBOROUGH
516975.0009,294124.9999,4,1,FOUR CHIMNEYS CRESCENT AT JUNCTION WITH WEST LAKE AVENUE
517225.0009,301224.9999,4,0,A47 OFF SLIP JUNCTION BRETTON WAY PETERBOROUGH
517275.0009,300024.9999,4,1,CRANFORD DRIVE ROUNDABOUT WITH HARTWELL WAY
517275.0009,301324.9999,4,0,A47 JUNCTION 17 BRETTON WAY PETERBOROUGH
517725.0009,301474.9999,4,0,A15 JUNCTION A47 PETERBOROUGH
517825.0009,295574.9999,4,0,A1139 FLETTON PARKWAY JUNCTION A1260 FLETTON PARKWAY
517875.0009,301474.9999,4,0,A47 JUNCTION 18 LINCOLN RD PETERBOROUGH
517925.0009,295324.9999,4,0,A1260 HARGATE WAY JUNCTION WITH THE SERPENTINE
517975.0009,301074.9999,4,0,A15 BOURGES BOULEVARD
518075.0009,299274.9999,4,1,ALDERMANS DRIVE JUNCTION WITH MAYORS WALK
518125.0009,297524.9999,4,0,A605 OUNDLE RD AT PETROL STATION
518175.0009,260224.9999,4,0,B1428 HIGH ST JUNCTION MARKET PLACE ST NEOTS
518225.0009,300674.9999,4,0,MASKEW AVE JUNCTION A15 BOURGES BOULEVARD MILLFIELD
518375.0009,300824.9999,4,1,A1109 SAINT PAULS RD 30M EAST OF A15 LINCOLN RD PETERBOROUGH
518425.0009,258674.9999,4,1,B1043 BARFORD RD JUNCTION CAERNARVON RD ST NEOTS
518525.0009,297774.9999,4,1,A605 OUNDLE RD JUNCTION WHARF RD PETERBOROUGH
518525.0009,300624.9999,4,0,LINCOLN RD JUNCTION ROCK RD PETERBOROUGH
518575.0009,300574.9999,4,1,LINCOLN ROAD 25 METRES NORTH OF JUNCTION WITH YORK ROAD
518625.0009,299874.9999,4,1,TAVERNERS RD JUNCTION GLADSTONE ST PETERBOROUGH
518675.0009,300474.9999,4,1,LINCOLN RD OS NO 217 MO CAFE SPORT LTD PETERBOROUGH
518725.0009,296974.9999,4,0,A15 JW CELTA RD PETERBOROUGH
518725.0009,301624.9999,4,0,FULBRIDGE RD JW FRANCIS GARDENS  PETERBOROUGH
518775.0009,296974.9999,4,0,A15 LONDON RD FLETTON HIGH ST CELTA RD JUNCTION PETERBOROUGH
518775.0009,297874.9999,4,1,OUNDLE RD JUNCTION GEORGE STREET PETERBOROUGH
518775.0009,298974.9999,4,1,A15 BOURGES BOULEVARD NEW CROSSING OS WAITROSE
518775.0009,299874.9999,4,0,TAVERNERS RD 15M WEST OF CROMWELL RD PETERBOROUGH
518825.0009,298874.9999,4,0,A15 BOURGES BOULEVARD 20M N OF STATION APPROACH
518825.0009,300074.9999,4,0,CAMBRIDGE AVENUE AT JN WITH SILVERWOOD ROAD
518825.0009,302074.9999,4,1,A47 TOPMOOR WAY JUNCTION FULBRIDGE RD PETERBOROUGH
518875.0009,298974.9999,4,0,C61 WESTGATE JUNCTION DEACON ST PETERBOROUGH
